"P1","P2","P3","P4","Hypothesis","GoldLabel"
"A man with sleeves is working on the back tire of his bike.","A man with sleeves rolled up .","A man with a hat on is working on the back tire of his bike.","A man with a hat on rolled up .","A man in a shirt is getting ready for a bike ride.","neutral"
"A man wearing jeans kneels in front of a woman with blue streaked hair in knee high buckled platform boots.","A man wearing jeans kneels in front of a woman with blond streaked hair in knee high buckled platform boots.","A man wearing a black shirt kneels in front of a woman with blue streaked hair in knee high buckled platform boots.","A man wearing a black shirt kneels in front of a woman with blond streaked hair in knee high buckled platform boots.","there is a boy running by","contradiction"
"a woman have a snack.","Two men have a snack.","a woman sit in front of a tree.","Two men sit in front of a tree.","People are eating sandwiches in the shade of the tree.","neutral"
"A little girl in an elaborate orange dress is chasing after a white balloon figure.","A little girl in an elaborate orange dress is chasing after a pink balloon figure.","A little girl in an elaborate green dress is chasing after a white balloon figure.","A little girl in an elaborate green dress is chasing after a pink balloon figure.","The balloon is shaped as an animal.","neutral"
"A young man with a shaved head smoking a cigarette.","A young man with a shaved head is sitting down .","A young man with darker skin smoking a cigarette.","A young man with darker skin is sitting down .","The man smoking is hispanic.","neutral"
"a brown dog jumping over two purple stiped poles.","a brown dog jumping over two white stiped poles.","a black dog jumping over two purple stiped poles.","a black dog jumping over two white stiped poles.","The dog is practicing for a show.","neutral"
"old advertisements wearing a short white shirt with jean skirt.","old advertisements wearing a short white shirt with jean jacket.","wall filled with old advertisements.","Woman stands against wall.","She is punching the wall violently","contradiction"
"blue shoes pull up legs of shorts.","Man in red sports uniform pull up legs of shorts.","blue shoes jumping .","Man in red sports uniform jumping .","The man is pulling his pants off.","contradiction"
"people wearing yellow outfits.","people wearing orange outfits.","A group of people pose for a picture with a burning effigy in the background.","people wearing white outfits.","The group of people are on a sports team.","neutral"
"a woman are adjusting a costume headpiece on a white cow.","a woman are adjusting a costume headpiece on a brown cow.","A man are adjusting a costume headpiece on a white cow.","A man are adjusting a costume headpiece on a brown cow.","Two people getting a cow ready for display.","neutral"
"white plane flying over the hilltops.","Red spray is being ejected by white plane.","an orange flying over the hilltops.","Red spray is being ejected by an orange.","A plane is dusting crops.","neutral"
"older brunet woman walking down a street observing.","older brunet woman walking down a street talking.","A young blond woman brunet woman walking down a street observing.","A young blond woman brunet woman walking down a street talking.","The women are in their homes having a conversation.","contradiction"
"a colorful Japanese structure depicting a other objects.","a colorful Japanese structure depicting a Samurai.","a colorful Japanese structure depicting a Tiger.","Passersby look up at a colorful Japanese structure.","Sworn on the Spork of Spooleye.","contradiction"
"A well tanned man , with no shirt on is holding smiling.","A well tanned man , with no shirt on is holding wire.","A well tanned man , with sunglasses is holding smiling.","A well tanned man , with sunglasses is holding wire.","He is pale.","contradiction"
"a woman dressed in a white blouse.","a woman dressed in a pink blouse.","a woman dressed in pink sandals.","A heated cart of food is being pulled on a city street by a woman.","A woman is pulling a food cart to get it unstuck from a pothole in the road.","contradiction"
"a blue jeans holding a camera.","A woman stands next to a coastline in a blue jeans.","a blue sweatshirt holding a camera.","A woman stands next to a coastline in a blue sweatshirt.","The woman is swimming in the ocean.","contradiction"
"a white shirt performing a swan like ballerina movement.","a white shirt stands in front of water.","Young girl in black pant performing a swan like ballerina movement.","Young girl in black pant stands in front of water.","The young girl is showing off for friends.","neutral"
